customer_id,Cluster_ID,Segment_Name,tenure,MonthlyCharges,TotalCharges,AverageMonthlySpend,ServiceCount,Churn,Churn_Binary
CUST-00001,1,New Low-Spend Basic Customers,1,29.85,29.85,29.85,1,No,0
CUST-00002,2,High-Spend At-Risk Onboarders,34,56.95,1889.5,55.5735294117647,3,No,0
CUST-00003,2,High-Spend At-Risk Onboarders,2,53.85,108.15,54.075,3,Yes,1
CUST-00004,3,Loyal Low-Spend Long-Termers,45,42.3,1840.75,40.90555555555556,3,No,0
CUST-00005,2,High-Spend At-Risk Onboarders,2,70.7,151.65,75.825,1,Yes,1
CUST-00006,2,High-Spend At-Risk Onboarders,8,99.65,820.5,102.5625,5,Yes,1
CUST-00007,2,High-Spend At-Risk Onboarders,22,89.1,1949.4,88.60909090909091,4,No,0
CUST-00008,1,New Low-Spend Basic Customers,10,29.75,301.9,30.189999999999998,1,No,0
CUST-00009,0,High-Value Long-Term Power Users,28,104.8,3046.05,108.78750000000001,6,Yes,1
CUST-00010,3,Loyal Low-Spend Long-Termers,62,56.15,3487.95,56.25725806451613,3,No,0
CUST-00011,1,New Low-Spend Basic Customers,13,49.95,587.45,45.18846153846154,2,No,0
CUST-00012,1,New Low-Spend Basic Customers,16,18.95,326.8,20.425,1,No,0
CUST-00013,0,High-Value Long-Term Power Users,58,100.35,5681.1,97.95,5,No,0
CUST-00014,0,High-Value Long-Term Power Users,49,103.7,5036.3,102.78163265306122,6,Yes,1
CUST-00015,0,High-Value Long-Term Power Users,25,105.5,2686.05,107.44200000000001,6,No,0
CUST-00016,0,High-Value Long-Term Power Users,69,113.25,7895.15,114.42246376811593,8,No,0
CUST-00017,3,Loyal Low-Spend Long-Termers,52,20.65,1022.95,19.672115384615385,1,No,0
CUST-00018,0,High-Value Long-Term Power Users,71,106.7,7382.25,103.97535211267606,6,No,0
CUST-00019,2,High-Spend At-Risk Onboarders,10,55.2,528.35,52.835,3,Yes,1
CUST-00020,2,High-Spend At-Risk Onboarders,21,90.05,1862.9,88.70952380952382,4,No,0
CUST-00021,1,New Low-Spend Basic Customers,1,39.65,39.65,39.65,2,Yes,1
CUST-00022,1,New Low-Spend Basic Customers,12,19.8,202.25,16.854166666666668,1,No,0
CUST-00023,1,New Low-Spend Basic Customers,1,20.15,20.15,20.15,1,Yes,1
CUST-00024,3,Loyal Low-Spend Long-Termers,58,59.9,3505.1,60.432758620689654,4,No,0
CUST-00025,3,Loyal Low-Spend Long-Termers,49,59.6,2970.3,60.61836734693878,4,No,0
CUST-00026,2,High-Spend At-Risk Onboarders,30,55.3,1530.6,51.019999999999996,3,No,0
CUST-00027,0,High-Value Long-Term Power Users,47,99.35,4749.15,101.04574468085106,5,Yes,1
CUST-00028,1,New Low-Spend Basic Customers,1,30.2,30.2,30.2,1,Yes,1
CUST-00029,0,High-Value Long-Term Power Users,72,90.25,6369.45,88.46458333333334,8,No,0
CUST-00030,2,High-Spend At-Risk Onboarders,17,64.7,1093.1,64.3,3,Yes,1
CUST-00031,0,High-Value Long-Term Power Users,71,96.35,6766.95,95.30915492957746,6,No,0
CUST-00032,2,High-Spend At-Risk Onboarders,2,95.5,181.65,90.825,4,No,0
CUST-00033,2,High-Spend At-Risk Onboarders,27,66.15,1874.45,69.42407407407407,5,No,0
CUST-00034,1,New Low-Spend Basic Customers,1,20.2,20.2,20.2,1,No,0
CUST-00035,1,New Low-Spend Basic Customers,1,45.25,45.25,45.25,1,No,0
CUST-00036,0,High-Value Long-Term Power Users,72,99.9,7251.7,100.71805555555555,6,No,0
CUST-00037,2,High-Spend At-Risk Onboarders,5,69.7,316.9,63.379999999999995,1,Yes,1
CUST-00038,2,High-Spend At-Risk Onboarders,46,74.8,3548.3,77.13695652173914,2,No,0
CUST-00039,0,High-Value Long-Term Power Users,34,106.35,3549.25,104.38970588235294,6,Yes,1
CUST-00040,2,High-Spend At-Risk Onboarders,11,97.85,1105.4,100.4909090909091,5,Yes,1
CUST-00041,1,New Low-Spend Basic Customers,10,49.55,475.7,47.57,2,No,0
CUST-00042,0,High-Value Long-Term Power Users,70,69.2,4872.35,69.605,5,No,0
CUST-00043,1,New Low-Spend Basic Customers,17,20.75,418.25,24.602941176470587,1,No,0
CUST-00044,0,High-Value Long-Term Power Users,63,79.85,4861.45,77.16587301587302,7,No,0
CUST-00045,2,High-Spend At-Risk Onboarders,13,76.2,981.45,75.49615384615385,6,No,0
CUST-00046,0,High-Value Long-Term Power Users,49,84.5,3906.7,79.72857142857143,3,No,0
CUST-00047,1,New Low-Spend Basic Customers,2,49.25,97.0,48.5,2,No,0
CUST-00048,2,High-Spend At-Risk Onboarders,2,80.65,144.15,72.075,2,Yes,1
CUST-00049,0,High-Value Long-Term Power Users,52,79.75,4217.8,81.11153846153846,6,No,0
CUST-00050,0,High-Value Long-Term Power Users,69,64.15,4254.1,61.6536231884058,5,No,0
CUST-00051,0,High-Value Long-Term Power Users,43,90.25,3838.75,89.27325581395348,4,No,0
CUST-00052,2,High-Spend At-Risk Onboarders,15,99.1,1426.4,95.09333333333333,5,Yes,1
CUST-00053,2,High-Spend At-Risk Onboarders,25,69.5,1752.65,70.10600000000001,5,No,0
CUST-00054,2,High-Spend At-Risk Onboarders,8,80.65,633.3,79.1625,3,Yes,1
